page	part	chapter	title	template	variant	editorialComposition	wordCount	hasImage	tableCount	mechanicalStatus	sourceStartLine	sourceEndLine	visualReview
128	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	98	YES	0	PASS	2949	2963	SAMPLE_REVIEWED
129	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	228	YES	0	PASS	2963	2977	SAMPLE_REVIEWED
130	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	38	NO	0	PASS	2979	2981	PENDING_FULL_VISUAL_REVIEW
131	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	229	NO	1	PASS	2984	3008	PENDING_FULL_VISUAL_REVIEW
132	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	211	NO	1	PASS	3010	3031	PENDING_FULL_VISUAL_REVIEW
133	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	229	NO	1	PASS	3039	3062	PENDING_FULL_VISUAL_REVIEW
134	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	283	YES	0	PASS	3064	3078	SAMPLE_REVIEWED
135	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	254	NO	0	PASS	3078	3108	PENDING_FULL_VISUAL_REVIEW
136	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	241	NO	1	PASS	3112	3129	PENDING_FULL_VISUAL_REVIEW
137	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	257	YES	0	PASS	3131	3145	SAMPLE_REVIEWED
138	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	302	NO	0	PASS	3145	3181	PENDING_FULL_VISUAL_REVIEW
139	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	178	NO	1	PASS	3183	3196	PENDING_FULL_VISUAL_REVIEW
140	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	265	YES	0	PASS	3198	3212	SAMPLE_REVIEWED
141	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	275	NO	0	PASS	3212	3246	PENDING_FULL_VISUAL_REVIEW
142	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	202	NO	1	PASS	3248	3261	PENDING_FULL_VISUAL_REVIEW
143	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	267	YES	0	PASS	3263	3277	SAMPLE_REVIEWED
144	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	248	NO	0	PASS	3279	3315	PENDING_FULL_VISUAL_REVIEW
145	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	181	NO	1	PASS	3317	3326	PENDING_FULL_VISUAL_REVIEW
146	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	264	YES	0	PASS	3328	3342	SAMPLE_REVIEWED
147	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	256	NO	0	PASS	3342	3380	PENDING_FULL_VISUAL_REVIEW
148	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	126	NO	0	PASS	3382	3404	PENDING_FULL_VISUAL_REVIEW
149	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	163	NO	1	PASS	3406	3415	PENDING_FULL_VISUAL_REVIEW
150	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	243	YES	0	PASS	3417	3431	SAMPLE_REVIEWED
151	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	249	NO	0	PASS	3433	3471	PENDING_FULL_VISUAL_REVIEW
152	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	161	NO	1	PASS	3473	3482	PENDING_FULL_VISUAL_REVIEW
153	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	248	YES	0	PASS	3484	3498	SAMPLE_REVIEWED
154	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	288	NO	0	PASS	3498	3535	PENDING_FULL_VISUAL_REVIEW
155	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	182	NO	1	PASS	3537	3550	PENDING_FULL_VISUAL_REVIEW
156	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	chapter_opening	quadrant-image	OFICIO_CULTURAL_OPENING	248	YES	0	PASS	3552	3566	SAMPLE_REVIEWED
157	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	277	NO	0	PASS	3568	3604	PENDING_FULL_VISUAL_REVIEW
158	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	173	NO	1	PASS	3606	3615	PENDING_FULL_VISUAL_REVIEW
159	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	150	YES	0	PASS	3617	3641	SAMPLE_REVIEWED
160	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	MOVIMENTO B — OFÍCIOS	narrative	default	CULTURE_FLOW	120	YES	0	PASS	3643	3675	SAMPLE_REVIEWED
161	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO B — OFÍCIOS	Pedr’alma	chapter_opening	image-side	SIDE_ART_RIGHT	174	YES	0	PASS	3667	3697	SAMPLE_REVIEWED
162	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	Lar · Cidade · Companhia	chapter_opening	image-side	SIDE_ART_RIGHT	207	YES	0	PASS	3699	3717	SAMPLE_REVIEWED
163	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	26	NO	0	PASS	3719	3723	PENDING_FULL_VISUAL_REVIEW
164	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	chapter_opening	image-top	PEDRALMA_OPENING	97	YES	0	PASS	3725	3757	SAMPLE_REVIEWED
165	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	97	YES	0	PASS	3759	3791	SAMPLE_REVIEWED
166	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	217	NO	0	PASS	3793	3813	PENDING_FULL_VISUAL_REVIEW
167	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	chapter_opening	image-top	PEDRALMA_OPENING	169	NO	0	PASS	3815	3853	PENDING_FULL_VISUAL_REVIEW
168	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	Pedr’almas de companhia	chapter_opening	image-top	IMAGE_TOP	86	YES	0	PASS	3855	3885	SAMPLE_REVIEWED
169	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	135	YES	0	PASS	3887	3939	SAMPLE_REVIEWED
170	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	157	NO	0	PASS	3941	3989	PENDING_FULL_VISUAL_REVIEW
171	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	212	NO	0	PASS	3991	4037	PENDING_FULL_VISUAL_REVIEW
172	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	194	NO	0	PASS	4039	4085	PENDING_FULL_VISUAL_REVIEW
173	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	265	NO	0	PASS	4081	4125	PENDING_FULL_VISUAL_REVIEW
174	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	177	NO	0	PASS	4125	4161	PENDING_FULL_VISUAL_REVIEW
175	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	324	NO	0	PASS	4163	4191	PENDING_FULL_VISUAL_REVIEW
176	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	437	NO	0	PASS	4191	4209	PENDING_FULL_VISUAL_REVIEW
177	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	411	NO	0	PASS	4211	4237	PENDING_FULL_VISUAL_REVIEW
178	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	394	NO	0	PASS	4237	4253	PENDING_FULL_VISUAL_REVIEW
179	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	446	NO	0	PASS	4255	4269	PENDING_FULL_VISUAL_REVIEW
180	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	Kelvhen, Yssaneth e Vhurrak	chapter_opening	image-top	IMAGE_TOP	241	YES	0	PASS	4271	4279	SAMPLE_REVIEWED
181	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	373	NO	0	PASS	4279	4295	PENDING_FULL_VISUAL_REVIEW
182	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	388	NO	0	PASS	4297	4315	PENDING_FULL_VISUAL_REVIEW
183	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	411	NO	0	PASS	4317	4331	PENDING_FULL_VISUAL_REVIEW
184	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	342	NO	0	PASS	4331	4343	PENDING_FULL_VISUAL_REVIEW
185	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	415	NO	0	PASS	4345	4359	PENDING_FULL_VISUAL_REVIEW
186	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	272	YES	0	PASS	4361	4371	SAMPLE_REVIEWED
187	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	400	NO	0	PASS	4371	4387	PENDING_FULL_VISUAL_REVIEW
188	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	narrative	default	CULTURE_FLOW	270	NO	0	PASS	4389	4399	PENDING_FULL_VISUAL_REVIEW
189	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	MOVIMENTO C — COMUNIDADES VIVAS	chapter_opening	image-top	FINAL_CLOSURE	224	NO	0	PASS	4401	4413	PENDING_FULL_VISUAL_REVIEW
190	PARTE IV — VELARIM	PARTE IV — VELARIM	PARTE IV — VELARIM	part_opening	default	PART_HERO	188	NO	0	PASS	4415	4423	PENDING_FULL_VISUAL_REVIEW
191	PARTE IV — VELARIM	Som, ortografia e pronúncia	Som, ortografia e pronúncia	narrative	default	TEXT_FLOW	66	YES	0	PASS	4424	4428	SAMPLE_REVIEWED
192	PARTE IV — VELARIM	Som, ortografia e pronúncia	Som, ortografia e pronúncia	narrative	default	TEXT_FLOW	105	NO	2	PASS	4430	4459	PENDING_FULL_VISUAL_REVIEW
193	PARTE IV — VELARIM	Som, ortografia e pronúncia	O QUE É VELARIM	chapter_opening	image-top	IMAGE_TOP	128	YES	0	PASS	4461	4471	SAMPLE_REVIEWED
194	PARTE IV — VELARIM	O QUE É VELARIM	O QUE É VELARIM	narrative	default	TEXT_FLOW	90	YES	1	PASS	4473	4486	SAMPLE_REVIEWED
195	PARTE IV — VELARIM	VELARIM EM DEZ REGRAS	VELARIM EM DEZ REGRAS	narrative	default	TEXT_FLOW	119	YES	0	PASS	4488	4518	SAMPLE_REVIEWED
196	PARTE IV — VELARIM	SOM E ESCRITA	SOM E ESCRITA	narrative	default	TEXT_FLOW	86	YES	1	PASS	4518	4536	SAMPLE_REVIEWED
197	PARTE IV — VELARIM	NOMES, PRONOMES E GRUPOS NOMINAIS	NOMES, PRONOMES E GRUPOS NOMINAIS	narrative	default	TEXT_FLOW	114	NO	1	PASS	4538	4564	PENDING_FULL_VISUAL_REVIEW
198	PARTE IV — VELARIM	RELAÇÕES E PREPOSIÇÕES	RELAÇÕES E PREPOSIÇÕES	narrative	default	TEXT_FLOW	94	NO	2	PASS	4566	4592	PENDING_FULL_VISUAL_REVIEW
199	PARTE IV — VELARIM	VERBOS, ASPECTO E MODALIDADE	VERBOS, ASPECTO E MODALIDADE	narrative	default	TEXT_FLOW	146	NO	3	PASS	4594	4625	PENDING_FULL_VISUAL_REVIEW
200	PARTE IV — VELARIM	AS TRÊS ORDENS	AS TRÊS ORDENS	narrative	default	TEXT_FLOW	93	NO	1	PASS	4625	4650	PENDING_FULL_VISUAL_REVIEW
201	PARTE IV — VELARIM	CONECTORES E FRASES COMPLEXAS	CONECTORES E FRASES COMPLEXAS	narrative	default	TEXT_FLOW	49	NO	1	PASS	4652	4668	PENDING_FULL_VISUAL_REVIEW
202	PARTE IV — VELARIM	MORFOLOGIA PRODUTIVA	MORFOLOGIA PRODUTIVA	narrative	default	TEXT_FLOW	131	NO	1	PASS	4670	4691	PENDING_FULL_VISUAL_REVIEW
203	PARTE IV — VELARIM	AGÊNCIA, CONSENTIMENTO E SOMBRA	AGÊNCIA, CONSENTIMENTO E SOMBRA	narrative	default	TEXT_FLOW	235	NO	0	PASS	4693	4725	PENDING_FULL_VISUAL_REVIEW
204	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	59	NO	0	PASS	4727	4729	PENDING_FULL_VISUAL_REVIEW
205	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	103	NO	1	PASS	4731	4769	PENDING_FULL_VISUAL_REVIEW
206	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	65	NO	2	PASS	4733	4782	PENDING_FULL_VISUAL_REVIEW
207	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	110	NO	1	PASS	4784	4842	PENDING_FULL_VISUAL_REVIEW
208	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	116	NO	1	PASS	4786	4842	PENDING_FULL_VISUAL_REVIEW
209	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	95	NO	2	PASS	4786	4860	PENDING_FULL_VISUAL_REVIEW
210	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	121	NO	2	PASS	4862	4890	PENDING_FULL_VISUAL_REVIEW
211	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	139	NO	1	PASS	4892	4917	PENDING_FULL_VISUAL_REVIEW
212	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	93	NO	1	PASS	4919	4936	PENDING_FULL_VISUAL_REVIEW
213	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	110	NO	1	PASS	4938	4971	PENDING_FULL_VISUAL_REVIEW
214	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	63	NO	2	PASS	4940	4983	PENDING_FULL_VISUAL_REVIEW
215	PARTE IV — VELARIM	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	DICIONÁRIO CONVERSACIONAL 2.0 — EXPANSÃO DE MESA	narrative	default	TEXT_FLOW	67	NO	1	PASS	4985	5008	PENDING_FULL_VISUAL_REVIEW
216	PARTE IV — VELARIM	FRASEÁRIO DE MESA	FRASEÁRIO DE MESA	narrative	default	TEXT_FLOW	185	NO	1	PASS	5010	5054	PENDING_FULL_VISUAL_REVIEW
217	PARTE IV — VELARIM	FRASEÁRIO DE MESA	FRASEÁRIO DE MESA	narrative	default	TEXT_FLOW	208	NO	1	PASS	5012	5068	PENDING_FULL_VISUAL_REVIEW
218	PARTE IV — VELARIM	DIÁLOGOS MODELO	DIÁLOGOS MODELO	narrative	default	TEXT_FLOW	118	NO	0	PASS	5068	5114	PENDING_FULL_VISUAL_REVIEW
219	PARTE IV — VELARIM	Pedr’alma no uso de Velarim	Pedr’alma no uso de Velarim	chapter_opening	image-top	IMAGE_TOP	172	NO	1	PASS	5116	5146	PENDING_FULL_VISUAL_REVIEW
220	PARTE IV — VELARIM	Pedr’alma e morfologia relacional	Pedr’alma e morfologia relacional	narrative	default	TEXT_FLOW	159	NO	0	PASS	5148	5198	PENDING_FULL_VISUAL_REVIEW
221	PARTE IV — VELARIM	Pertencimento e -ov	Pertencimento e -ov	narrative	default	TEXT_FLOW	143	NO	0	PASS	5200	5254	PENDING_FULL_VISUAL_REVIEW
222	PARTE IV — VELARIM	Pedr’alma e Ritual Comum	Pedr’alma e Ritual Comum	narrative	default	TEXT_FLOW	102	NO	0	PASS	5256	5314	PENDING_FULL_VISUAL_REVIEW
223	PARTE IV — VELARIM	A formulação nuclear	A formulação nuclear	narrative	default	TEXT_FLOW	156	NO	0	PASS	5316	5366	PENDING_FULL_VISUAL_REVIEW
224	PARTE IV — VELARIM	Regra específica para mira	Regra específica para mira	narrative	default	TEXT_FLOW	164	NO	1	PASS	5368	5406	PENDING_FULL_VISUAL_REVIEW
225	PARTE IV — VELARIM	Exemplos de interpretação válida	Exemplos de interpretação válida	narrative	default	TEXT_FLOW	174	NO	0	PASS	5408	5466	PENDING_FULL_VISUAL_REVIEW
226	PARTE IV — VELARIM	Exemplos de interpretação válida	Exemplos de interpretação válida	narrative	default	TEXT_FLOW	165	NO	0	PASS	5468	5522	PENDING_FULL_VISUAL_REVIEW
227	PARTE IV — VELARIM	Em resumo	Em resumo	narrative	default	TEXT_FLOW	167	NO	0	PASS	5516	5554	PENDING_FULL_VISUAL_REVIEW
228	PARTE IV — VELARIM	Fórmula relacional	Fórmula relacional	narrative	default	TEXT_FLOW	147	NO	0	PASS	5556	5570	PENDING_FULL_VISUAL_REVIEW
229	PARTE V — JOGANDO KALLISTIS	PARTE V — JOGANDO KALLISTIS	PARTE V — JOGANDO KALLISTIS	part_opening	default	PART_HERO	165	NO	0	PASS	5572	5579	PENDING_FULL_VISUAL_REVIEW
230	PARTE V — JOGANDO KALLISTIS	PRINCÍPIOS DO JOGO	PRINCÍPIOS DO JOGO	rules_2col	default	REFERENCE_TABLE	176	YES	0	PASS	5580	5649	SAMPLE_REVIEWED
231	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	238	YES	1	PASS	5656	5695	SAMPLE_REVIEWED
232	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	239	NO	2	PASS	5697	5743	PENDING_FULL_VISUAL_REVIEW
233	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	270	NO	1	PASS	5743	5774	PENDING_FULL_VISUAL_REVIEW
234	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	243	NO	1	PASS	5776	5805	PENDING_FULL_VISUAL_REVIEW
235	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	233	NO	2	PASS	5807	5866	PENDING_FULL_VISUAL_REVIEW
236	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	267	NO	1	PASS	5855	5894	PENDING_FULL_VISUAL_REVIEW
237	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	334	NO	0	PASS	5896	5941	PENDING_FULL_VISUAL_REVIEW
238	PARTE V — JOGANDO KALLISTIS	O NÚCLEO DE RESOLUÇÃO	O NÚCLEO DE RESOLUÇÃO	rules_2col	default	REFERENCE_TABLE	218	NO	3	PASS	5943	6005	PENDING_FULL_VISUAL_REVIEW
