page	part	chapter	title	template	variant	editorialComposition	wordCount	hasImage	tableCount	mechanicalStatus	sourceStartLine	sourceEndLine	visualReview
33	PARTE I — O MUNDO PARTIDO	A história em Marcos	MARCO CINCO — A ERA DA RESTAURAÇÃO CIENTÍFICA	timeline_milestone	default	TIMELINE_MILESTONE	116	YES	0	PASS	851	875	SAMPLE_REVIEWED
34	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	148	YES	0	PASS	873	910	SAMPLE_REVIEWED
35	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	111	YES	0	PASS	903	940	SAMPLE_REVIEWED
36	PARTE I — O MUNDO PARTIDO	A história em Marcos	Os Outros	chapter_opening	image-side	SIDE_ART_PAIR	87	YES	0	PASS	933	969	SAMPLE_REVIEWED
37	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	chapter_opening	image-side	SIDE_ART_PAIR	77	YES	0	PASS	971	999	SAMPLE_REVIEWED
38	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	218	NO	0	PASS	1001	1057	PENDING_FULL_VISUAL_REVIEW
39	PARTE I — O MUNDO PARTIDO	A história em Marcos	MARCO SEIS — A ERA DAS REVELAÇÕES	timeline_milestone	default	TIMELINE_MILESTONE	109	YES	0	PASS	1059	1104	SAMPLE_REVIEWED
40	PARTE I — O MUNDO PARTIDO	A história em Marcos	Thavin	chapter_opening	image-side	SIDE_ART_PAIR	174	YES	0	PASS	1099	1147	SAMPLE_REVIEWED
41	PARTE I — O MUNDO PARTIDO	A história em Marcos	Isenna e a cisão interna	chapter_opening	image-side	SIDE_ART_PAIR	120	YES	0	PASS	1149	1183	SAMPLE_REVIEWED
42	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	chapter_opening	image-top	IMAGE_TOP	120	YES	0	PASS	1185	1209	SAMPLE_REVIEWED
43	PARTE I — O MUNDO PARTIDO	A história em Marcos	MARCO SETE — O TEMPO DA ESCOLHA	timeline_milestone	default	TIMELINE_MILESTONE	67	YES	0	PASS	1211	1231	SAMPLE_REVIEWED
44	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	115	YES	0	PASS	1233	1281	SAMPLE_REVIEWED
45	PARTE I — O MUNDO PARTIDO	A história em Marcos	Os Outros	chapter_opening	image-side	SIDE_ART_PAIR	152	YES	0	PASS	1283	1333	SAMPLE_REVIEWED
46	PARTE I — O MUNDO PARTIDO	A história em Marcos	Os Lightbringers	chapter_opening	image-side	SIDE_ART_PAIR	101	YES	0	PASS	1335	1365	SAMPLE_REVIEWED
47	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	184	NO	0	PASS	1367	1420	PENDING_FULL_VISUAL_REVIEW
48	PARTE I — O MUNDO PARTIDO	A história em Marcos	A história em Marcos	narrative	default	TEXT_FLOW	132	NO	0	PASS	1409	1477	PENDING_FULL_VISUAL_REVIEW
49	PARTE I — O MUNDO PARTIDO	Cronologia consolidada por Marcos	Cronologia consolidada por Marcos	table_page	default	TEXT_FEATURE	177	NO	1	PASS	1479	1501	PENDING_FULL_VISUAL_REVIEW
50	PARTE I — O MUNDO PARTIDO	O que é fundamento, consenso, tradição e futuro aberto	PARTE II — O CINTURÃO DAS FRESTAS	part_opening	default	PART_HERO	152	YES	0	PASS	1508	1564	SAMPLE_REVIEWED
51	PARTE II — O CINTURÃO DAS FRESTAS	O Cinturão das Frestas	O Cinturão das Frestas	narrative	default	GEOGRAPHY_FLOW	247	YES	0	PASS	1565	1573	SAMPLE_REVIEWED
52	PARTE II — O CINTURÃO DAS FRESTAS	O Cinturão das Frestas	O Cinturão das Frestas	narrative	default	GEOGRAPHY_FLOW	128	NO	0	PASS	1575	1583	PENDING_FULL_VISUAL_REVIEW
53	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas		full_art	full-page	MAP_SPREAD	0	YES	0	PASS	1585	1585	SAMPLE_REVIEWED
54	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas		full_art	full-page	MAP_SPREAD	0	YES	0	PASS	1585	1585	SAMPLE_REVIEWED
55	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	O Mapa em Duas Camadas	narrative	default	GEOGRAPHY_FLOW	276	NO	1	PASS	1585	1603	PENDING_FULL_VISUAL_REVIEW
56	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	O Mapa em Duas Camadas	narrative	default	GEOGRAPHY_FLOW	90	NO	0	PASS	1603	1609	PENDING_FULL_VISUAL_REVIEW
57	PARTE II — O CINTURÃO DAS FRESTAS	A Fenda de Kethrell	A Fenda de Kethrell	chapter_opening	image-top	GEOGRAPHY_OPENING	353	NO	0	PASS	1611	1630	PENDING_FULL_VISUAL_REVIEW
58	PARTE II — O CINTURÃO DAS FRESTAS	A Fenda de Kethrell	A Fenda de Kethrell	narrative	default	GEOGRAPHY_FLOW	259	YES	0	PASS	1632	1644	SAMPLE_REVIEWED
59	PARTE II — O CINTURÃO DAS FRESTAS	Quatro Fatores de Instabilidade	Quatro Fatores de Instabilidade	narrative	default	GEOGRAPHY_FLOW	142	YES	1	PASS	1644	1660	SAMPLE_REVIEWED
60	PARTE II — O CINTURÃO DAS FRESTAS	Estados da Fenda	Estados da Fenda	narrative	default	GEOGRAPHY_FLOW	111	NO	0	PASS	1660	1666	PENDING_FULL_VISUAL_REVIEW
61	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	chapter_opening	image-top	GEOGRAPHY_OPENING	205	YES	0	PASS	1668	1678	SAMPLE_REVIEWED
62	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	223	YES	0	PASS	1680	1696	SAMPLE_REVIEWED
63	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	231	YES	0	PASS	1698	1716	SAMPLE_REVIEWED
64	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	220	YES	0	PASS	1716	1732	SAMPLE_REVIEWED
65	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	429	NO	0	PASS	1732	1760	PENDING_FULL_VISUAL_REVIEW
66	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	134	YES	0	PASS	1748	1776	SAMPLE_REVIEWED
67	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	Geografia da Luz: Planalto de Silmari	narrative	default	GEOGRAPHY_FLOW	227	YES	0	PASS	1778	1790	SAMPLE_REVIEWED
68	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	Geografia da Escuridão: Vale de Thur-Daer	chapter_opening	image-top	GEOGRAPHY_OPENING	186	YES	0	PASS	1792	1802	SAMPLE_REVIEWED
69	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	Geografia da Escuridão: Vale de Thur-Daer	narrative	default	GEOGRAPHY_FLOW	60	YES	0	PASS	1804	1810	SAMPLE_REVIEWED
70	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	Geografia da Escuridão: Vale de Thur-Daer	narrative	default	GEOGRAPHY_FLOW	176	YES	0	PASS	1810	1826	SAMPLE_REVIEWED
71	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	Geografia da Escuridão: Vale de Thur-Daer	narrative	default	GEOGRAPHY_FLOW	104	YES	0	PASS	1828	1836	SAMPLE_REVIEWED
72	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	Geografia da Escuridão: Vale de Thur-Daer	narrative	default	GEOGRAPHY_FLOW	115	YES	0	PASS	1838	1850	SAMPLE_REVIEWED
73	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	Geografia da Luz — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	199	YES	0	PASS	1852	1868	SAMPLE_REVIEWED
74	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	Geografia da Luz — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	194	YES	0	PASS	1870	1886	SAMPLE_REVIEWED
75	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	Geografia da Luz — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	205	YES	0	PASS	1888	1906	SAMPLE_REVIEWED
76	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	Geografia da Luz — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	209	YES	0	PASS	1906	1926	SAMPLE_REVIEWED
77	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	Geografia da Luz — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	239	YES	0	PASS	1928	1938	SAMPLE_REVIEWED
78	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	Geografia da Escuridão — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	214	YES	0	PASS	1940	1960	SAMPLE_REVIEWED
79	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	Geografia da Escuridão — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	245	YES	0	PASS	1962	1982	SAMPLE_REVIEWED
80	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	Geografia da Escuridão — Cidades e enclaves	narrative	default	GEOGRAPHY_FLOW	199	NO	0	PASS	1984	2002	PENDING_FULL_VISUAL_REVIEW
81	PARTE II — O CINTURÃO DAS FRESTAS	Distribuição dos Povos	Distribuição dos Povos	chapter_opening	image-top	IMAGE_TOP	107	YES	1	PASS	2004	2018	SAMPLE_REVIEWED
82	PARTE II — O CINTURÃO DAS FRESTAS	Distribuição dos Povos	Distribuição dos Povos	narrative	default	GEOGRAPHY_FLOW	112	NO	1	PASS	2008	2022	PENDING_FULL_VISUAL_REVIEW
83	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	chapter_opening	image-top	IMAGE_TOP	156	YES	0	PASS	2024	2032	SAMPLE_REVIEWED
84	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	narrative	default	TEXT_FEATURE	41	YES	0	PASS	2032	2032	SAMPLE_REVIEWED
85	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Livres, Dóreos, Teriantes, Nimari e Vitrálios	Tensões Regionais: Livres, Dóreos, Teriantes, Nimari e Vitrálios	narrative	default	GEOGRAPHY_FLOW	191	NO	0	PASS	2034	2046	PENDING_FULL_VISUAL_REVIEW
86	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Oficiais	Rotas Oficiais	map_page	default	MAP_PAGE	126	YES	0	PASS	2048	2056	SAMPLE_REVIEWED
87	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Oficiais	Rotas Oficiais	narrative	default	GEOGRAPHY_FLOW	149	NO	0	PASS	2056	2060	PENDING_FULL_VISUAL_REVIEW
88	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Clandestinas e Comércio	Rotas Clandestinas e Comércio	map_page	default	MAP_PAGE	122	YES	0	PASS	2062	2068	SAMPLE_REVIEWED
89	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Clandestinas e Comércio	Rotas Clandestinas e Comércio	narrative	default	GEOGRAPHY_FLOW	335	NO	0	PASS	2068	2084	PENDING_FULL_VISUAL_REVIEW
90	PARTE II — O CINTURÃO DAS FRESTAS	As Outras Forças do Cinturão	As Outras Forças do Cinturão	narrative	default	GEOGRAPHY_FLOW	155	NO	0	PASS	2086	2092	PENDING_FULL_VISUAL_REVIEW
91	PARTE II — O CINTURÃO DAS FRESTAS	O Estado Político Atual	O Estado Político Atual	chapter_opening	image-top	GEOGRAPHY_OPENING	211	YES	0	PASS	2094	2110	SAMPLE_REVIEWED
92	PARTE II — O CINTURÃO DAS FRESTAS	O Estado Político Atual	O Estado Político Atual	narrative	default	GEOGRAPHY_FLOW	225	YES	0	PASS	2112	2128	SAMPLE_REVIEWED
93	PARTE II — O CINTURÃO DAS FRESTAS	O que está prestes a acontecer	O que está prestes a acontecer	narrative	default	GEOGRAPHY_FLOW	375	NO	0	PASS	2130	2154	PENDING_FULL_VISUAL_REVIEW
94	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	part_opening	default	PART_HERO	39	NO	0	PASS	2156	2158	PENDING_FULL_VISUAL_REVIEW
95	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	PREÂMBULO — O NOME E O CAMINHO	PREÂMBULO — O NOME E O CAMINHO	narrative	default	CULTURE_FLOW	324	NO	0	PASS	2160	2190	PENDING_FULL_VISUAL_REVIEW
96	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	128	NO	0	PASS	2192	2210	PENDING_FULL_VISUAL_REVIEW
97	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	114	NO	1	PASS	2212	2224	PENDING_FULL_VISUAL_REVIEW
98	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	270	YES	0	PASS	2226	2238	SAMPLE_REVIEWED
99	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	326	NO	0	PASS	2238	2260	PENDING_FULL_VISUAL_REVIEW
100	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	214	NO	0	PASS	2262	2300	PENDING_FULL_VISUAL_REVIEW
101	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	244	YES	0	PASS	2302	2316	SAMPLE_REVIEWED
102	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	395	NO	0	PASS	2316	2328	PENDING_FULL_VISUAL_REVIEW
103	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	301	NO	0	PASS	2330	2361	PENDING_FULL_VISUAL_REVIEW
104	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	146	NO	0	PASS	2366	2386	PENDING_FULL_VISUAL_REVIEW
105	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	269	YES	0	PASS	2388	2400	SAMPLE_REVIEWED
106	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	309	NO	0	PASS	2402	2428	PENDING_FULL_VISUAL_REVIEW
107	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	180	NO	0	PASS	2430	2460	PENDING_FULL_VISUAL_REVIEW
108	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	272	YES	0	PASS	2462	2478	SAMPLE_REVIEWED
109	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	421	NO	0	PASS	2478	2490	PENDING_FULL_VISUAL_REVIEW
110	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	326	NO	0	PASS	2492	2521	PENDING_FULL_VISUAL_REVIEW
111	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	234	NO	0	PASS	2526	2555	PENDING_FULL_VISUAL_REVIEW
112	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	235	YES	0	PASS	2557	2569	SAMPLE_REVIEWED
113	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	307	NO	0	PASS	2571	2600	PENDING_FULL_VISUAL_REVIEW
114	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	130	NO	0	PASS	2605	2627	PENDING_FULL_VISUAL_REVIEW
115	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	229	YES	0	PASS	2629	2641	SAMPLE_REVIEWED
116	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	359	NO	0	PASS	2643	2669	PENDING_FULL_VISUAL_REVIEW
117	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	210	NO	0	PASS	2669	2703	PENDING_FULL_VISUAL_REVIEW
118	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	257	YES	0	PASS	2705	2717	SAMPLE_REVIEWED
119	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	304	NO	0	PASS	2719	2748	PENDING_FULL_VISUAL_REVIEW
120	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	171	NO	0	PASS	2753	2777	PENDING_FULL_VISUAL_REVIEW
121	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	261	YES	0	PASS	2779	2791	SAMPLE_REVIEWED
122	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	395	NO	0	PASS	2791	2813	PENDING_FULL_VISUAL_REVIEW
123	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	290	NO	0	PASS	2815	2860	PENDING_FULL_VISUAL_REVIEW
124	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	22	NO	0	PASS	2862	2864	PENDING_FULL_VISUAL_REVIEW
125	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	chapter_opening	quadrant-image	POVO_OPENING	250	YES	0	PASS	2866	2880	SAMPLE_REVIEWED
126	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	303	NO	0	PASS	2880	2913	PENDING_FULL_VISUAL_REVIEW
127	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	MOVIMENTO A — POVOS	narrative	default	CULTURE_FLOW	321	NO	0	PASS	2918	2947	PENDING_FULL_VISUAL_REVIEW
